Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BMCH,"BMC Stock Holdings, Inc.",19.03,1267038086,n/a,2013,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/bmch
WIFI,"Boingo Wireless, Inc.",20.91,892208790,n/a,2011,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/wifi
BOKF,BOK Financial Corporation,90.78,6547319767,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bokf
BOKFL,BOK Financial Corporation,25.59,0,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bokfl
BNSO,"Bonso Electronics International, Inc.",2.97,13995531,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/bnso
BKNG,Booking Holdings Inc.,1714.08,77155411668,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/bkng
BRQS,"Borqs Technologies, Inc. ",4.0585,127044646,n/a,2015,Technology,EDP Services,https://www.nasdaq.com/symbol/brqs
BOMN,Boston Omaha Corporation,25.17,555340409.3,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/bomn
BPFH,"Boston Private Financial Holdings, Inc.",11.9,996830060.8,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bpfh
EPAY,"Bottomline Technologies, Inc.",50.83,2195546903,n/a,1999,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/epay
BOXL,Boxlight Corporation,2.79,28380108.78,n/a,2017,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/boxl
BWMC,Boxwood Merger Corp.,9.81,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/bwmc
BWMCU,Boxwood Merger Corp.,10,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/bwmcu
BWMCW,Boxwood Merger Corp.,0.3,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/bwmcw
BBRX,"Braeburn Pharmaceuticals, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbrx
BCLI,Brainstorm Cell Therapeutics Inc.,3.9,80758224.3,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/bcli
BVNSC,Brandes Investment Trust,100.04,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bvnsc
BDGE,"Bridge Bancorp, Inc.",33.25,658091780.5,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bdge
BLIN          ,"Bridgeline Digital, Inc.",0.235,3779095.865,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/blin
BWB,"Bridgewater Bancshares, Inc.",11.15,335584605.1,n/a,2018,Finance,Major Banks,https://www.nasdaq.com/symbol/bwb
BRID,Bridgford Foods Corporation,24.63,223562372.2,n/a,n/a,Consumer Non-Durables,Specialty Foods,https://www.nasdaq.com/symbol/brid
BCOV,Brightcove Inc.,8.94,327608973.1,n/a,2012,Technology,EDP Services,https://www.nasdaq.com/symbol/bcov
BHF,"Brighthouse Financial, Inc.",38.97,4546648255,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/bhf
BHFAL,"Brighthouse Financial, Inc.",24.9,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/bhfal
AVGO,Broadcom Inc.,272.75,1.08037E+11,n/a,2009,Technology,Semiconductors,https://www.nasdaq.com/symbol/avgo
BVSN,"BroadVision, Inc.",1.55,7748688.7,n/a,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/bvsn
BYFC,Broadway Financial Corporation,1.26,34547685.48,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/byfc
BWEN,"Broadwind Energy, Inc.",1.5678,24628076.34,n/a,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/bwen
BPY,Brookfield Property Partners L.P.,19.19,8194495071,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/bpy
BPR,Brookfield Property REIT Inc.,19.24,14764336289,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/bpr
BPRAP,Brookfield Property REIT Inc.,24.74,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/bprap
BRKL,"Brookline Bancorp, Inc.",15.95,1278506495,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/brkl
BRKS,"Brooks Automation, Inc.",32.04,2273561412,n/a,1995,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/brks
DOOO,BRP Inc.,29.45,1267528677,n/a,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/dooo
BRKR,Bruker Corporation,38.98,6103015690,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/brkr
BMTC,Bryn Mawr Bank Corporation,40.84,823490245.4,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bmtc
BLMT,"BSB Bancorp, Inc.",35.56,347649815.2,n/a,2011,Finance,Major Banks,https://www.nasdaq.com/symbol/blmt
BSQR,BSQUARE Corporation,2.2,28110660.6,n/a,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/bsqr
BLDR,"Builders FirstSource, Inc.",14.03,1614544340,n/a,2005,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/bldr
BFST,"Business First Bancshares, Inc.",25,330333225,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/bfst
CFFI,C&F Financial Corporation,52,181316772,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cffi
CHRW,"C.H. Robinson Worldwide, Inc.",90.2,12344204642,n/a,1997,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/chrw
CCMP,Cabot Microelectronics Corporation,113.66,3291064285,n/a,2000,Technology,Semiconductors,https://www.nasdaq.com/symbol/ccmp
CDNS,"Cadence Design Systems, Inc.",58.14,16301583900,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cdns
CDZI,"Cadiz, Inc.",9.9,242718884.1,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/cdzi
CZR,Caesars Entertainment Corporation,8.97,6011122288,n/a,2012,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/czr
CSTE,Caesarstone Ltd.,17.01,584270706.6,n/a,2012,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cste
CLBS,"Caladrius Biosciences, Inc.",4.05,39860031.15,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/clbs
CHY,Calamos Convertible and High Income Fund,10.86,792873244,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/chy
CHI,Calamos Convertible Opportunities and Income Fund,10.2,714237884.4,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/chi
CCD,Calamos Dynamic Convertible & Income Fund,19.27,470526708.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ccd
CHW,Calamos Global Dynamic Income Fund,7.94,469644386,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/chw
CGO,Calamos Global Total Return Fund,11.83,102266422.4,n/a,2005,n/a,n/a,https://www.nasdaq.com/symbol/cgo
CSQ,Calamos Strategic Total Return Fund,12.41,1918899874,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/csq
CAMP,CalAmp Corp.,13.9,476201573.4,n/a,1983,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/camp
CVGW,"Calavo Growers, Inc.",85.58,1506208000,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/cvgw
CALA,"Calithera Biosciences, Inc.",5.88,224179210.1,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cala
CALM,"Cal-Maine Foods, Inc.",44.29,2153730710,n/a,1996,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/calm
CLMT,"Calumet Specialty Products Partners, L.P.",2.97,229119488.7,n/a,2006,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/clmt
CRUSC,Calvert Management Series,99.9575,99957500,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/crusc
CLXT,"Calyxt, Inc.",16.6,540701159.4,n/a,2017,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/clxt
CATC,Cambridge Bancorp,83.35,342965329.4,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/catc
CAC,Camden National Corporation,45.11,703351240.5,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cac
CAMT,Camtek Ltd.,8.75,318796231.3,n/a,2000,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/camt
CSIQ,Canadian Solar Inc.,24.99,1463958307,n/a,2006,Technology,Semiconductors,https://www.nasdaq.com/symbol/csiq
CGIX,"Cancer Genetics, Inc.",0.2575,10572648.73,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cgix
CPHC,Canterbury Park Holding Corporation,14.7985,66950293.41,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/cphc
CBNK,"Capital Bancorp, Inc.",11.8,161335252.2,n/a,2018,Finance,Major Banks,https://www.nasdaq.com/symbol/cbnk
CCBG,Capital City Bank Group,25.24,430557070,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ccbg
CPLP,Capital Product Partners L.P.,2.26,287577523.9,n/a,2007,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/cplp
CSWC,Capital Southwest Corporation,21.51,370690111.4,n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswc
CSWCL,Capital Southwest Corporation,25.3701,0,n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/cswcl
CPTA,Capitala Finance Corp.,8.3,133039770.4,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/cpta
CPTAG,Capitala Finance Corp.,25,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cptag
CPTAL,Capitala Finance Corp.,25.44,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cptal
CFFN,"Capitol Federal Financial, Inc.",13.44,1898792972,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cffn
CAPR,"Capricor Therapeutics, Inc.",0.47,14601658.73,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/capr
CSTR,"CapStar Financial Holdings, Inc.",16.76,297066324,n/a,2016,Finance,Major Banks,https://www.nasdaq.com/symbol/cstr
CPST,Capstone Turbine Corporation,0.8127,58183850.53,n/a,2000,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cpst
CARA,"Cara Therapeutics, Inc.",17.22,679273155.5,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cara
CBLK,"Carbon Black, Inc.",13.15,893112902.7,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cblk
CARB,"Carbonite, Inc.",23.02,795523548.6,n/a,2011,Technology,EDP Services,https://www.nasdaq.com/symbol/carb
CSII,"Cardiovascular Systems, Inc.",36.14,1258504955,n/a,1981,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/csii
CDLX,"Cardlytics, Inc.",19.24,411957260,n/a,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cdlx
CATM,Cardtronics plc,30.33,1403098344,n/a,2007,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/catm
CDNA,"CareDx, Inc.",31.64,1303623212,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cdna
CECO,Career Education Corporation,16.77,1170091701,n/a,1998,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ceco
CTRE,"CareTrust REIT, Inc.",22.33,1983952215,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ctre
CARG,"CarGurus, Inc.",40.37,4472586608,n/a,2017,Technology,EDP Services,https://www.nasdaq.com/symbol/carg
CARO,Carolina Financial Corporation,36.79,820417331.1,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/caro
CART,"Carolina Trust BancShares, Inc.",8.36,59832411.32,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cart
CRZO,"Carrizo Oil & Gas, Inc.",11.14,1020733001,n/a,1997,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/crzo
TAST,"Carrols Restaurant Group, Inc.",10.79,399271789.7,n/a,2006,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/tast
CARV,"Carver Bancorp, Inc.",3.44,12724092.16,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/carv
CASM,"CAS Medical Systems, Inc.",2.425,68377395.2,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/casm
CASA,"Casa Systems, Inc.",10.32,854236462.3,n/a,2017,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/casa
CWST,"Casella Waste Systems, Inc.",35.79,1664191050,n/a,1997,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/cwst
CASY,"Caseys General Stores, Inc.",134.85,4936252484,n/a,1983,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/casy
CASI,"CASI Pharmaceuticals, Inc.",3.34,312582300.1,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/casi
CASS,"Cass Information Systems, Inc",52.46,773958485.2,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cass
CTRM,Castor Maritime Inc.,5.12,0,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/ctrm
CATB,"Catabasis Pharmaceuticals, Inc.",4.9,36729209.3,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/catb
CBIO,"Catalyst Biosciences, Inc. ",8.82,105334869.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cbio
CPRX,"Catalyst Pharmaceuticals, Inc.",2.88,295889060.2,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cprx
CATS,"Catasys, Inc.",11.12,179431830.7,n/a,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/cats
CATY,Cathay General Bancorp,38.36,3088054725,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/caty
CGVIC,Causeway ETMF Trust,100.1,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cgvic
CIVEC,Causeway ETMF Trust,100.12,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/civec
CVCO,"Cavco Industries, Inc.",137.75,1253293580,n/a,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/cvco
CBFV,"CB Financial Services, Inc.",25.85,140424670.7,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cbfv
CBAT,"CBAK Energy Technology, Inc.",1.04,27713377.12,n/a,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cbat
CBMB,"CBM Bancorp, Inc.",12.95,54804400,n/a,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cbmb
CBOE,"Cboe Global Markets, Inc.",96.2,10756963750,n/a,2010,n/a,n/a,https://www.nasdaq.com/symbol/cboe
CBTX,"CBTX, Inc.",33.74,840362180,n/a,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/cbtx
CDK,"CDK Global, Inc.",58.78,7330591639,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/cdk
CDW,CDW Corporation,94.83,13945623462,n/a,2013,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/cdw
CECE,CECO Environmental Corp.,7.84,274011629.9,n/a,n/a,Capital Goods,Pollution Control Equipment,https://www.nasdaq.com/symbol/cece
CELC,Celcuity Inc.,22.01,223599678,n/a,2017,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/celc
CELG,Celgene Corporation,85.96,60358047096,n/a,1987,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/celg
CELGZ,Celgene Corporation,1,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/celgz
CLDX,"Celldex Therapeutics, Inc.",5.34,64614000,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/cldx
APOP,Cellect Biotechnology Ltd.,1.1,7115891.2,6468992,2016,n/a,n/a,https://www.nasdaq.com/symbol/apop
APOPW,Cellect Biotechnology Ltd.,0.2,0,n/a,2016,n/a,n/a,https://www.nasdaq.com/symbol/apopw
CLRB,"Cellectar Biosciences, Inc.",2.05,9753303.45,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrb
CLRBW,"Cellectar Biosciences, Inc.",0.12,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrbw
CLRBZ,"Cellectar Biosciences, Inc.",0.0999,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clrbz
CLLS,Cellectis S.A.,19.54,305586353.1,15639015,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/clls
CBMG,"Cellular Biomedicine Group, Inc.",19.11,345534942.5,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cbmg
CLSN,Celsion Corporation,2.1763,40766090.33,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/clsn
CELH,"Celsius Holdings, Inc.",3.61,184578646.6,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/celh
CYAD,Celyad SA,20.9,20054720.4,959556,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyad
CETX,Cemtrex Inc.,0.6,8489818.8,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetx
CETXP,Cemtrex Inc.,1.92,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetxp
CETXW,Cemtrex Inc.,0.05,0,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cetxw
CDEV,"Centennial Resource Development, Inc.",9.27,2562202647,n/a,2016,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/cdev
CSFL,CenterState Bank Corporation,26.46,2531997328,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/csfl
CETV,Central European Media Enterprises Ltd.,3.53,892573045.6,n/a,1994,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/cetv
CFBK,Central Federal Corporation,12.83,55202242.53,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cfbk
CENT,Central Garden & Pet Company,31.73,1837533894,n/a,1993,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cent
CENTA,Central Garden & Pet Company,28.39,1644109274,n/a,n/a,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/centa
CVCY,Central Valley Community Bancorp,19.55,268909565.8,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cvcy
CNTX,Centrexion Therapeutics Corporation,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/cntx
CTRC,Centric Brands Inc.,4.12,240342569,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/ctrc
CENX,Century Aluminum Company,8.93,786763719.2,n/a,1996,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/cenx
CNBKA,"Century Bancorp, Inc.",78.3,435967274.7,n/a,1987,Finance,Major Banks,https://www.nasdaq.com/symbol/cnbka
CNTY,"Century Casinos, Inc.",8.51,250527413.3,n/a,n/a,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/cnty
CRNT,Ceragon Networks Ltd.,3.84,300942305.3,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/crnt
CERC,Cerecor Inc.,6.18,252169888,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cerc
CERN,Cerner Corporation,55.95,18147992803,n/a,1986,Technology,EDP Services,https://www.nasdaq.com/symbol/cern
CERS,Cerus Corporation,6.85,938128892.6,n/a,1997,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cers
KOOL,Cesca Therapeutics Inc.,0.3545,7674622.612,n/a,n/a,Capital Goods,Medical Specialities,https://www.nasdaq.com/symbol/kool
CEVA,"CEVA, Inc.",28.29,619618217,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/ceva
CFFA,CF Finance Acquisition Corp.,9.85,278345368.1,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/cffa
CFFAU,CF Finance Acquisition Corp.,10.15,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/cffau
CFFAW,CF Finance Acquisition Corp.,0.48,0,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/cffaw
CSBR,"Champions Oncology, Inc.",11.42,130188000,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/csbr
CYOU,Changyou.com Limited,19.75,386429606,19566056,2009,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyou
BURG,"Chanticleer Holdings, Inc.",1.885,7003536.54,n/a,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/burg
CTHR,Charles & Colvard Ltd.,1.05,22677972.45,n/a,1997,Consumer Durables,Consumer Specialties,https://www.nasdaq.com/symbol/cthr
GTLS,"Chart Industries, Inc.",88.98,2811515386,n/a,2006,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/gtls
CHTR,"Charter Communications, Inc.",346.58,78103122777,n/a,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/chtr
CTAC,ChaSerg Technology Acquisition Corp.,9.79,275490600,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ctac
CTACU,ChaSerg Technology Acquisition Corp.,10.14,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ctacu
CTACW,ChaSerg Technology Acquisition Corp.,0.62,0,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ctacw
CHKP,Check Point Software Technologies Ltd.,121.3,19290907654,n/a,1996,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/chkp
CHEK,Check-Cap Ltd.,1.98,10554754.32,n/a,2015,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chek
CHEKW,Check-Cap Ltd.,0.1099,0,n/a,2015,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chekw
CHEKZ,Check-Cap Ltd.,0.32,0,n/a,n/a,Health Care,Medical Electronics,https://www.nasdaq.com/symbol/chekz
CKPT,"Checkpoint Therapeutics, Inc.",3.2,108948854.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ckpt
CEMI,"Chembio Diagnostics, Inc.",6.89,118419697.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cemi
CHFC,Chemical Financial Corporation,46.28,3307810750,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chfc
CCXI,"ChemoCentryx, Inc.",10.78,562630654.7,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ccxi
CHMG,Chemung Financial Corp,46.75,226971250,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/chmg
CHKE,Cherokee Inc.,0.73,10382817.01,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/chke
CHFS,"CHF Solutions, Inc.",9.055,4649244.475,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/chfs
CHMA,"Chiasma, Inc.",4.37,106761909.9,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/chma
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",7.38,85723806.96,n/a,2017,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/csse
CSSEP,"Chicken Soup for the Soul Entertainment, Inc.",24.9501,0,n/a,n/a,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/cssep
PLCE,"Children&#39;s Place, Inc. (The)",94.6,1531976239,n/a,1997,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/plce
CMRX,"Chimerix, Inc.",2.29,116158193.6,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cmrx
CADC,"China Advanced Construction Materials Group, Inc.",2.7,15078490.2,n/a,n/a,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/cadc
CAAS,"China Automotive Systems, Inc.",3.63,114867734.5,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/caas
GLG,"China Bat Group, Inc.",1.6599,1633049.458,n/a,2013,Finance,Major Banks,https://www.nasdaq.com/symbol/glg
CBPO,"China Biologic Products Holdings, Inc.",81,3188266596,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cbpo
CCCL,"China Ceramics Co., Ltd.",1.73,9782824.76,n/a,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cccl
CCRC,"China Customer Relations Centers, Inc.",12.51,229303296,n/a,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ccrc
JRJC,China Finance Online Co. Limited,1.31,27797677.31,21219601,2004,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jrjc
HGSH,"China HGS Real Estate, Inc.",1.0862,48933310,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/hgsh
CIFS,China Internet Nationwide Financial Services Inc.,3.25,71871111,n/a,2017,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/cifs
CJJD,"China Jo-Jo Drugstores, Inc.",2.62,75814358.36,n/a,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cjjd
CLDC,China Lending Corporation,1.191,29211536.71,n/a,2014,Finance,Diversified Financial Services,https://www.nasdaq.com/symbol/cldc
CHNR,"China Natural Resources, Inc.",1.82,45337867.12,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/chnr
CREG,China Recycling Energy Corporation,1.01,10398232.8,n/a,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/creg
SXTC,"China SXT Pharmaceuticals, Inc.",7.0555,167568125,n/a,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sxtc
CNTF,China TechFaith Wireless Communication Technology Limited,1.11,8057475.57,7258987,2005,n/a,n/a,https://www.nasdaq.com/symbol/cntf
CXDC,China XD Plastics Company Limited,2.55,128644544.6,n/a,n/a,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/cxdc
CCIH,ChinaCache International Holdings Ltd.,1.2111,29261968.43,24161480,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/ccih
CNET,"ChinaNet Online Holdings, Inc.",1.75,28231950.25,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/cnet
